county,well_count
Albany,19
Allegany,15967
Bronx,20
Broome,68
Cattaraugus,11838
Cayuga,491
Chautauqua,6364
Chemung,233
Chenango,201
Clinton,1
Cortland,30
Delaware,39
Dutchess,10
Erie,3502
Essex,3
Fulton,5
Genesee,880
Greene,3
Herkimer,14
Jefferson,13
Lewis,11
Livingston,456
Madison,144
Monroe,32
Montgomery,9
Nassau,4
New York,213
Niagara,16
Oneida,72
Onondaga,294
Ontario,347
Orange,21
Orleans,30
Oswego,212
Otsego,19
Queens,12
Richmond,2
Rockland,7
Saratoga,5
Schenectady,2
Schoharie,4
Schuyler,434
Seneca,456
St Lawrence,1
Statewide,580
Steuben,2067
Sullivan,3
Tioga,125
Tompkins,110
Ulster,10
Warren,2
Washington,3
Wayne,38
Westchester,61
Wyoming,1148
Yates,161
